Chicken Nuggets & fries,7.99,La Buena Vida - Raleigh
Mini Peperoni Pizza,7.99,La Buena Vida - Raleigh
kids ACP,7.99,La Buena Vida - Raleigh
Kids Mac&Cheese & Fries,7.99,La Buena Vida - Raleigh
Kids Tacos,7.99,La Buena Vida - Raleigh
Kids Cheese Hamburguesa,9.99,La Buena Vida - Raleigh
Kids Chicken Sandwich,8.99,La Buena Vida - Raleigh
Kids Drink,0.99,La Buena Vida - Raleigh
Hummus (v),$13.00,Parkside Restaurant
Housemade Pimento Cheese (v),$12.00,Parkside Restaurant
Fried Pickle Spears (v),$10.00,Parkside Restaurant
Baked Pretzel (v),$12.00,Parkside Restaurant
Loaded Tots,$10.00,Parkside Restaurant
Short Rib Poutine,$18.00,Parkside Restaurant
Chicken Wings (5),$10.00,Parkside Restaurant
Chicken Wings (10),$16.00,Parkside Restaurant
Fried Cheese Ravioli (v),$10.00,Parkside Restaurant
Jalapeño and Bacon Deviled Eggs,$6.00,Parkside Restaurant
Steakhouse Salad,$19.00,Parkside Restaurant
Vegetable Bowl (v,gf),$15.00,Parkside Restaurant
Chef (gf),$18.00,Parkside Restaurant
Mediterranean Bowl (v,gf),$16.00,Parkside Restaurant
Fruit Power Bowl (v,gf),$16.00,Parkside Restaurant
Blackened Chicken Caesar,$17.00,Parkside Restaurant
Add Chicken,$6.00,Parkside Restaurant
Add Shrimp,$8.00,Parkside Restaurant
Add Salmon,$8.00,Parkside Restaurant
Add Steak,$11.00,Parkside Restaurant
Chunky Avocado,$3.00,Parkside Restaurant
Parkside Burger *,$18.00,Parkside Restaurant
Cheese Burger *,$14.00,Parkside Restaurant
Prime Rib Burger *,$17.00,Parkside Restaurant
Mushroom Swiss Burger,$16.00,Parkside Restaurant
Firehouse 1 Burger,$15.00,Parkside Restaurant
Chicken & Waffle Sandwich,$16.00,Parkside Restaurant
The Club,$16.00,Parkside Restaurant
Fried Buffalo Chicken Sandwich,$17.00,Parkside Restaurant
Grilled Chicken Sandwich,$15.00,Parkside Restaurant
Classic Chicken,$14.00,Parkside Restaurant
Turkey,Apple,Brie,$15.00,Parkside Restaurant
B.L.T.,$13.00,Parkside Restaurant
Auntie Nessa,$13.00,Parkside Restaurant
French Dip *,$16.00,Parkside Restaurant
Short Rib Melt,$18.00,Parkside Restaurant
Gluten Free Bun (sub),$3.00,Parkside Restaurant
Black Bean Burger (sub),$1.00,Parkside Restaurant
Meatless Chicken (sub),$2.00,Parkside Restaurant
Steakhouse Salad Wrap,$19.00,Parkside Restaurant
Southwestern Chicken Wrap,$16.00,Parkside Restaurant
Blackened Salmon Caesar Wrap,$17.00,Parkside Restaurant
Veggie Wrap,$15.00,Parkside Restaurant
Small Parkside or Caesar Salad,$3.00,Parkside Restaurant
Chicken Broccoli Alfredo,$22.00,Parkside Restaurant
Penne Ala Vodka,$20.00,Parkside Restaurant
Shrimp & Grits,$24.00,Parkside Restaurant
Fish and Chips,$19.00,Parkside Restaurant
Braised Short Rib Stroganoff,$24.00,Parkside Restaurant
Mom's Meatloaf,$19.00,Parkside Restaurant
Bone in Pork Chop,$24.00,Parkside Restaurant
Steak Frites,$27.00,Parkside Restaurant
Country Fried Steak,$28.00,Parkside Restaurant
NC Bone In Pork Chop (gf),$28.00,Parkside Restaurant
NC Ribeye,$32.00,Parkside Restaurant
